property_name,market,year,month,month_name,total_rooms,rooms_sold,rooms_available,occupancy,adr,revpar,compset_occupancy,compset_adr,compset_revpar,market_occupancy,market_adr,market_revpar,mpi,ari,rgi,seg_transient_pct,seg_group_pct,seg_contract_pct,total_revenue,revenue_transient,revenue_group,revenue_contract
Property_JAK_001,Jakarta,2024,1,January,280,4828,8680,55.6,2753000,1531000,58.7,2912000,1709000,51.6,2602000,1343000,94.7,94.5,89.6,24.4,52.3,23.3,13291989000,3246181300,6949893200,3095915000
Property_JAK_001,Jakarta,2024,2,February,280,4675,8120,57.6,2807000,1617000,61.2,2990000,1830000,54.0,2612000,1410000,94.1,93.9,88.4,25.4,51.3,23.3,13124749000,3332110500,6737028400,3055610000
Property_JAK_001,Jakarta,2024,3,March,280,5096,8680,58.7,2979000,1749000,62.0,3158000,1958000,55.1,2782000,1533000,94.7,94.3,89.3,24.3,50.1,25.6,15182812000,3688941800,7614036100,3879833900
Property_JAK_001,Jakarta,2024,4,April,280,5433,8400,64.7,3260000,2109000,68.8,3469000,2387000,61.4,3094000,1900000,94.0,94.0,88.4,25.2,51.6,23.2,17713144000,4470102000,9137336000,4105705500
Property_JAK_001,Jakarta,2024,5,May,280,5629,8680,64.9,3274000,2125000,69.3,3479000,2411000,61.7,3039000,1875000,93.7,94.1,88.1,25.5,48.2,26.3,18429462000,4694568500,8886468000,4848425600
Property_JAK_001,Jakarta,2024,6,June,280,4907,8400,58.4,2925000,1708000,61.9,3121000,1932000,55.0,2720000,1496000,94.3,93.7,88.4,25.4,48.8,25.8,14350562000,3647460900,7003269600,3699831300
Property_JAK_001,Jakarta,2024,7,July,280,4710,8680,54.3,2757000,1497000,57.7,2946000,1700000,51.2,2574000,1318000,94.1,93.6,88.1,25.2,52.1,22.7,12986629000,3269900700,6762390200,2954338500
Property_JAK_001,Jakarta,2024,8,August,280,4715,8680,54.3,2778000,1508000,57.4,2942000,1689000,51.2,2581000,1321000,94.6,94.4,89.3,25.2,51.0,23.8,13099824000,3299171600,6681768900,3118883900
Property_JAK_001,Jakarta,2024,9,September,280,5273,8400,62.8,3182000,1998000,66.5,3368000,2240000,58.7,2976000,1747000,94.4,94.5,89.2,24.0,53.4,22.6,16778512000,4034077000,8955401100,3789034200
Property_JAK_001,Jakarta,2024,10,October,280,5911,8680,68.1,3383000,2304000,72.3,3597000,2601000,63.7,3157000,2011000,94.2,94.1,88.6,25.5,51.7,22.8,19997921000,5100884000,10338967700,4558070000
Property_JAK_001,Jakarta,2024,11,November,280,5466,8400,65.1,3269000,2128000,68.7,3476000,2388000,61.1,3061000,1870000,94.8,94.0,89.1,26.9,51.7,21.3,17866398000,4813173300,9245403300,3807821500
Property_JAK_001,Jakarta,2024,12,December,280,4602,8680,53.0,2604000,1380000,56.4,2767000,1561000,50.1,2478000,1241000,94.0,94.1,88.4,24.0,49.9,26.1,11981997000,2879077300,5973281800,3129638500
