property_name,market,year,month,month_name,total_rooms,rooms_sold,rooms_available,occupancy,adr,revpar,compset_occupancy,compset_adr,compset_revpar,market_occupancy,market_adr,market_revpar,mpi,ari,rgi,seg_transient_pct,seg_group_pct,seg_contract_pct,total_revenue,revenue_transient,revenue_group,revenue_contract
Property_BAL_001,Bali,2025,1,January,180,4799,5580,86.0,6431000,5531000,91.3,6942000,6338000,80.5,6119000,4926000,94.2,92.6,87.3,73.7,15.9,10.4,30861896000,22741366800,4905294500,3215234600
Property_BAL_001,Bali,2025,2,February,180,4218,5040,83.7,6402000,5358000,89.1,6915000,6161000,79.2,6015000,4764000,93.9,92.6,87.0,75.2,15.3,9.6,27003603000,20295155900,4123061100,2585386000
Property_BAL_001,Bali,2025,3,March,180,4121,5580,73.9,5630000,4161000,78.1,6107000,4770000,69.8,5340000,3727000,94.6,92.2,87.2,75.8,15.2,9.0,23200285000,17577550700,3533343800,2089390800
Property_BAL_001,Bali,2025,4,April,180,3941,5400,73.0,5470000,3993000,77.0,5909000,4550000,68.2,5165000,3523000,94.8,92.6,87.8,75.4,15.0,9.6,21555525000,16247549500,3231057100,2076918000
Property_BAL_001,Bali,2025,5,May,180,3899,5580,69.9,5369000,3753000,74.4,5798000,4314000,65.4,5120000,3348000,94.0,92.6,87.0,73.6,14.3,12.0,20934172000,15415938000,3001631800,2516602600
Property_BAL_001,Bali,2025,6,June,180,4452,5400,82.4,6207000,5115000,86.8,6725000,5837000,77.6,5905000,4582000,94.9,92.3,87.6,75.4,14.3,10.3,27634625000,20823990600,3965277000,2845357100
Property_BAL_001,Bali,2025,7,July,180,4942,5580,88.6,6797000,6022000,94.5,7319000,6916000,83.0,6434000,5340000,93.8,92.9,87.1,75.9,15.8,8.3,33592335000,25504976100,5299348700,2788010100
Property_BAL_001,Bali,2025,8,August,180,5137,5580,92.1,6995000,6442000,97.5,7587000,7397000,86.8,6679000,5797000,94.5,92.2,87.1,75.7,13.4,10.9,35933389000,27191630400,4816438300,3925320100
Property_BAL_001,Bali,2025,9,September,180,4655,5400,86.2,6620000,5706000,90.7,7132000,6469000,80.0,6266000,5013000,95.0,92.8,88.2,74.7,14.7,10.6,30818112000,23023423600,4516473200,3278214800
Property_BAL_001,Bali,2025,10,October,180,4115,5580,73.7,5619000,4141000,78.2,6088000,4761000,69.1,5385000,3721000,94.2,92.3,87.0,73.7,14.5,11.8,23123943000,17043529200,3358977300,2721436600
Property_BAL_001,Bali,2025,11,November,180,4190,5400,77.6,5847000,4537000,82.5,6360000,5247000,72.0,5477000,3943000,94.1,91.9,86.5,74.5,15.2,10.3,24497057000,18243187800,3729138400,2524730600
Property_BAL_001,Bali,2025,12,December,180,4940,5580,88.5,6798000,6016000,94.1,7366000,6931000,83.6,6390000,5342000,94.0,92.3,86.8,77.3,15.6,7.1,33582444000,25974945000,5222687600,2384811600
