date,volumeusd,feesusd,tvlusd,pool_id
2025-02-01 09:37:00.666971,712141218.2541327,356070.6091270664,204419206.86479375,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640
2025-02-02 09:37:00.666971,959096972.7568762,479548.4863784382,201082634.34330124,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640
2025-02-03 09:37:00.666971,750309730.4111521,375154.86520557606,200124751.68512112,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640
2025-02-04 09:37:00.666970,963607767.740508,481803.883870254,198491550.4545613,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640
2025-02-05 09:37:00.666970,707555089.81144,353777.54490572,197391277.55169773,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640
2025-02-06 09:37:00.666969,838115118.067539,419057.5590337695,197312430.40418825,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640
2025-02-07 09:37:00.666969,862257709.2328324,431128.8546164162,197644765.5799072,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640
2025-02-08 09:37:00.666969,1143490470.590213,571745.2352951065,204165642.11940697,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640
2025-02-09 09:37:00.666968,842228529.9657261,421114.2649828631,200286747.27065623,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640
2025-02-10 09:37:00.666968,843279885.473174,421639.942736587,192340125.9630679,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640
2025-02-11 09:37:00.666967,984577742.0562032,492288.8710281016,196044104.23349488,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640
2025-02-12 09:37:00.666967,776585530.2095942,388292.76510479714,194248471.42853463,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640
2025-02-13 09:37:00.666966,670435571.0740374,335217.78553701873,194675264.89146572,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640
2025-02-14 09:37:00.666966,556145441.1077598,278072.7205538799,195081843.59891,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640
